Filename,SMILES
C00017,*[C@H](N)C(=O)N[C@@H](*)C(=O)O
C00018,Cc1ncc(COP(=O)(O)O)c(C=O)c1O
C00019,C[S+](CC[C@H](N)C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
C00020,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
C00021,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O
C00022,CC(=O)C(=O)O
C00024,CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
C00025,N[C@@H](CCC(=O)O)C(=O)O
C00026,O=C(O)CCC(=O)C(=O)O
C00027,OO
C00029,O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1
C00031,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
C00032,C=CC1=C(C)/C2=C/c3c(C=C)c(C)c4n3[Fe]n3/c(c(C)c(CCC(=O)O)/c3=C/C3=N/C(=C\4)C(C)=C3CCC(=O)O)=C\C1=N2
C00033,CC(=O)O
C00035,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1
C00036,O=C(O)CC(=O)C(=O)O
C00037,NCC(=O)O
C00039,*[C@H]1C[C@H](O)[C@@H](COP(=O)(O)O[C@H]2C[C@H](*)O[C@@H]2COP(=O)(O)O[C@H]2C[C@H](*)O[C@@H]2CO)O1
C00040,*C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
C00041,C[C@H](N)C(=O)O
C00042,O=C(O)CCC(=O)O
C00043,CC(=O)N[C@H]1[C@@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O
C00044,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1
C00045,*C(N)C(=O)O
C00046,*[C@@H]1O[C@H](COP(=O)(O)O[C@H]2[C@@H](O)[C@H](*)O[C@@H]2COP(=O)(O)O[C@H]2[C@@H](O)[C@H](*)O[C@@H]2COP(=O)(O)O)[C@@H](O)[C@H]1O
C00047,NCCCC[C@H](N)C(=O)O
C00048,O=CC(=O)O
C00049,N[C@@H](CC(=O)O)C(=O)O
C00051,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O
C00052,O=c1ccn(C2O[C@H](COP(=O)(O)OP(=O)(O)O[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1
C00053,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OS(=O)(=O)O)[C@@H](OP(=O)(O)O)[C@H]1O
C00054,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H]1O
C00055,Nc1ccn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)n1
C00058,O=CO
C00059,O=S(=O)(O)O
C00060,*C(=O)[O-]
C00061,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)c2cc1C
C00062,N=C(N)NCCC[C@H](N)C(=O)O
C00063,Nc1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)n1
C00064,NC(=O)CC[C@H](N)C(=O)O
C00065,N[C@@H](CO)C(=O)O
C00066,*[C@@H]1O[C@H](COP(=O)(O)O[C@H]2[C@@H](O)[C@H](*)O[C@@H]2COP(=O)(O)O[C@H]2[C@@H](O)[C@H](*)O[C@@H]2CO)[C@@H](O)[C@H]1O
C00067,C=O
C00068,Cc1ncc(C[n+]2csc(CCOP(=O)(O)OP(=O)(O)O)c2C)c(N)n1
C00069,*O
C00071,*C=O
C00072,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O
C00073,CSCC[C@H](N)C(=O)O
C00074,C=C(OP(=O)(O)O)C(=O)O
C00075,O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1
C00077,NCCC[C@H](N)C(=O)O
C00078,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
C00079,N[C@@H](Cc1ccccc1)C(=O)O
C00080,[H+]
C00081,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O
C00082,N[C@@H](Cc1ccc(O)cc1)C(=O)O
C00083,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CC(=O)O
C00084,CC=O
C00085,O=P(O)(O)OC[C@H]1OC(O)(CO)[C@@H](O)[C@@H]1O
C00086,NC(N)=O
C00087,[S]
C00088,O=NO
C00089,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
C00090,Oc1ccccc1O
C00091,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCC(=O)O
C00092,O=P(O)(O)OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
C00093,O=P(O)(O)OC[C@H](O)CO
C00094,O=S(O)O
C00095,OC[C@H]1OC(O)(CO)[C@@H](O)[C@@H]1O
C00096,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1
C00097,N[C@@H](CS)C(=O)O
C00099,NCCC(=O)O
C00100,CCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
C00101,Nc1nc2c(c(=O)[nH]1)N[C@@H](CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)CN2
C00103,O=P(O)(O)O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
C00104,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O
C00105,O=c1ccn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1
C00106,O=c1cc[nH]c(=O)[nH]1
C00108,Nc1ccccc1C(=O)O
C00109,CCC(=O)C(=O)O
C00110,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C\CCC(C)CCOP(=O)(O)O
C00111,O=C(CO)COP(=O)(O)O
C00112,Nc1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)n1
C00113,O=C(O)c1cc(C(=O)O)c2c(n1)C(=O)C(=O)c1cc(C(=O)O)[nH]c1-2
C00114,C[N+](C)(C)CCO
C00116,OCC(O)CO
C00117,O=P(O)(O)OC[C@H]1OC(O)[C@H](O)[C@@H]1O
C00118,O=C[C@H](O)COP(=O)(O)O
C00119,O=P(O)(O)OC[C@H]1O[C@H](OP(=O)(O)OP(=O)(O)O)[C@H](O)[C@@H]1O
C00120,O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]12
C00121,OC[C@H]1OC(O)[C@H](O)[C@@H]1O
C00122,O=C(O)/C=C/C(=O)O
C00123,CC(C)C[C@H](N)C(=O)O
C00124,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@H]1O
C00125,*NC(=O)[C@H](CSC(C)C1=C(C)/C2=C/c3c(C(C)SC[C@H](NC(*)=O)C(=O)N*)c(C)c4n3[Fe+]n3/c(c(C)c(CCC(=O)O)/c3=C/C3=N/C(=C\4)C(C)=C3CCC(=O)O)=C\C1=N2)NC(*)=O
C00126,*NC(=O)[C@H](CSC(C)C1=C(C)/C2=C/c3c(C(C)SC[C@H](NC(*)=O)C(=O)N*)c(C)c4n3[Fe]n3/c(c(C)c(CCC(=O)O)/c3=C/C3=N/C(=C\4)C(C)=C3CCC(=O)O)=C\C1=N2)NC(*)=O
C00127,N[C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O)C(=O)NCC(=O)O)C(=O)O
C00128,CC(=O)N[C@@H]1[C@@H](O)C[C@@](OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(N)nc3=O)[C@H](O)[C@@H]2O)(C(=O)O)O[C@H]1[C@H](O)[C@H](O)CO
C00129,C=C(C)CCOP(=O)(O)OP(=O)(O)O
C00130,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
C00131,Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1
C00132,CO
C00133,C[C@@H](N)C(=O)O
C00134,NCCCCN
C00135,N[C@@H](Cc1c[nH]cn1)C(=O)O
C00136,CCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
C00137,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O
C00140,CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O
C00141,CC(C)C(=O)C(=O)O
C00143,Nc1nc2c(c(=O)[nH]1)N1CN(c3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)C[C@H]1CN2
C00144,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1
C00145,*S
C00146,Oc1ccccc1
C00147,Nc1ncnc2[nH]cnc12
C00148,O=C(O)[C@@H]1CCCN1
C00149,O=C(O)C[C@H](O)C(=O)O
C00151,*[C@H](N)C(=O)O
C00152,NC(=O)C[C@H](N)C(=O)O
C00153,NC(=O)c1cccnc1
C00154,CCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
C00155,N[C@@H](CCS)C(=O)O
C00156,O=C(O)c1ccc(O)cc1
C00157,*C(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(*)=O
C00158,O=C(O)CC(O)(CC(=O)O)C(=O)O
C00159,OC[C@H]1OC(O)[C@@H](O)[C@@H](O)[C@@H]1O
C00160,O=C(O)CO
C00161,*C(=O)C(=O)O
C00162,*C(=O)O
C00163,CCC(=O)O
C00164,CC(=O)CC(=O)O
C00165,*C(=O)OCC(CO)OC(*)=O
C00166,O=C(O)C(=O)Cc1ccccc1
C00167,O=C(O)[C@H]1O[C@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
C00168,O=C(O)C(=O)CO
C00169,NC(=O)OP(=O)(O)O
C00170,CSC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
C00173,*CCC(=O)S*
C00175,[Co+2]
C00176,*n1c2nc(=O)[nH]c(=O)c-2nc2cc(C)c(C)cc21
C00177,[C-]#N
C00178,Cc1c[nH]c(=O)[nH]c1=O
C00179,N=C(N)NCCCCN
C00180,O=C(O)c1ccccc1
C00181,OC1OC[C@@H](O)[C@H](O)[C@H]1O
C00183,CC(C)[C@H](N)C(=O)O
C00184,O=C(CO)CO
C00185,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)OC(O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
C00186,C[C@H](O)C(=O)O
C00187,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C
C00188,C[C@@H](O)[C@H](N)C(=O)O
C00189,NCCO
C00190,O=c1ccn(C2O[C@H](COP(=O)(O)OP(=O)(O)O[C@H]3OC[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1
C00191,O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
C00192,NO
C00193,O=Cc1ccccc1
C00194,C/C1=C2/N=C(/C=C3\N=C(/C(C)=C4\N([Co+]C[C@H]5O[C@@H](n6cnc7c(N)ncnc76)[C@H](O)[C@@H]5O)C([C@H](CC(N)=O)[C@@]4(C)CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@@H]4[C@@H](CO)O[C@H](n5cnc6cc(C)c(C)cc65)[C@@H]4O)[C@]4(C)N=C1[C@@H](CCC(N)=O)[C@]4(C)CC(N)=O)[C@@H](CCC(N)=O)C3(C)C)[C@@H](CCC(N)=O)[C@]2(C)CC(N)=O
C00195,*C(=O)N[C@@H](CO)[C@H](O)/C=C/CCCCCCCCCCCCC
C00196,O=C(O)c1cccc(O)c1O
C00197,O=C(O)[C@H](O)COP(=O)(O)O
C00198,O=C1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
C00199,O=C(CO)[C@H](O)[C@H](O)COP(=O)(O)O
C00201,*[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O
C00202,CC(C)OP(=O)(F)OC(C)C
C00203,CC(=O)N[C@H]1[C@@H](OP(=O)(O)OP(=O)(O)OC[C@H]2OC(n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@H](O)[C@@H]1O
C00204,O=C(O)C(=O)C[C@H](O)[C@H](O)CO
C00206,Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)O)O1
C00207,CC(C)=O
C00208,OC[C@H]1O[C@H](O[C@@H]2[C@@H](CO)OC(O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
C00209,O=C(O)C(=O)O
C00212,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
C00213,CNCC(=O)O
C00214,Cc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O
C00216,OC1OC[C@@H](O)[C@@H](O)[C@@H]1O
C00217,N[C@H](CCC(=O)O)C(=O)O
C00218,CN
C00219,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O
C00221,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O
C00222,O=CCC(=O)O
C00223,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)/C=C/c1ccc(O)cc1
C00224,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OS(=O)(=O)O)[C@@H](O)[C@H]1O
C00226,*CO
C00227,CC(=O)OP(=O)(O)O
C00229,*S
C00230,O=C(O)c1ccc(O)c(O)c1
C00231,O=C(CO)[C@@H](O)[C@H](O)COP(=O)(O)O
C00232,O=CCCC(=O)O
C00233,CC(C)CC(=O)C(=O)O
C00234,Nc1nc2c(c(=O)[nH]1)N[C@@H](CN(C=O)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)CN2
C00235,CC(C)=CCOP(=O)(O)OP(=O)(O)O
C00236,O=C(OP(=O)(O)O)[C@H](O)COP(=O)(O)O
C00237,[C-]#[O+]
C00239,Nc1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)c(=O)n1
C00240,*[C@@H]1O[C@H](COP(=O)(O)O[C@H]2[C@@H](O)[C@H](*)O[C@@H]2COP(=O)(O)O[C@H]2[C@@H](O)[C@H](*)O[C@@H]2CO)[C@@H](O)[C@H]1O
C00241,*C(N)=O
C00242,Nc1nc2[nH]cnc2c(=O)[nH]1
C00243,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O
C00244,O=[N+]([O-])O
C00245,NCCS(=O)(=O)O
C00246,CCCC(=O)O
C00247,OCC1(O)OC[C@H](O)[C@@H](O)[C@@H]1O
C00248,NC(=O)CCCCC1CCSS1
C00249,CCCCCCCCCCCCCCCC(=O)O
C00250,Cc1ncc(CO)c(C=O)c1O
C00251,C=C(O[C@@H]1C=C(C(=O)O)C=C[C@H]1O)C(=O)O
C00252,OC[C@H]1O[C@H](OC[C@H]2OC(O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
C00253,O=C(O)c1cccnc1
C00254,O=C(O)C(=O)C[C@]1(C(=O)O)C=C[C@@H](O)C=C1
C00255,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C
C00256,C[C@@H](O)C(=O)O
C00257,O=C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
C00258,O=C(O)[C@H](O)CO
C00259,OC1OC[C@H](O)[C@H](O)[C@H]1O
C00261,O=Cc1ccccc1
C00262,O=c1[nH]cnc2[nH]cnc12
C00263,N[C@@H](CCO)C(=O)O
C00264,*C(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
C00265,O[C@@H](CS)[C@@H](O)CS
C00266,O=CCO
C00267,OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O
C00268,C[C@H](O)[C@H](O)[C@H]1CNC2=NC(N)=NC(=O)C2=N1
C00269,*C(=O)OC[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O)OC(*)=O
C00270,CC(=O)N[C@@H]1[C@@H](O)CC(O)(C(=O)O)O[C@H]1[C@H](O)[C@H](O)CO
C00272,C[C@H](O)[C@H](O)[C@H]1CNc2nc(N)[nH]c(=O)c2N1
C00273,O=C(CO)[C@@H](O)[C@H](O)C(=O)CO
C00275,O=P(O)(O)OC[C@H]1OC(O)[C@@H](O)[C@@H](O)[C@@H]1O
C00279,O=C[C@H](O)[C@H](O)COP(=O)(O)O
C00280,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CCC2=O
C00282,[H][H]
C00283,S
C00286,Nc1nc2c(ncn2[C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]1
C00288,O=C([O-])O
C00292,Nc1ccccc1
C00294,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
C00295,O=C(O)c1cc(=O)[nH]c(=O)[nH]1
C00296,O=C(O)[C@]1(O)C[C@@H](O)[C@@H](O)[C@H](O)C1
C00299,O=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1
C00300,CN(CC(=O)O)C(=N)N
C00301,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](O)[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1O
C00302,NC(CCC(=O)O)C(=O)O
C00305,[Mg+2]
C00307,C[N+](C)(C)CCOP(=O)([O-])OP(=O)(O)OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O
C00309,OCC1(O)OC[C@@H](O)[C@H]1O
C00310,OCC1(O)OC[C@@H](O)[C@@H]1O
C00311,O=C(O)CC(C(=O)O)C(O)C(=O)O
C00312,OCC1(O)OC[C@H](O)[C@H]1O
C00313,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C(=O)O
C00314,Cc1ncc(CO)c(CO)c1O
C00315,NCCCCNCCCN
C00318,C[N+](C)(C)C[C@H](O)CC(=O)[O-]
C00319,CCCCCCCCCCCCC/C=C/[C@@H](O)[C@@H](N)CO
C00320,O=S(=O)(O)[S-]
C00322,O=C(O)CCCC(=O)C(=O)O
C00323,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)/C=C/c1ccc(O)c(O)c1
C00325,C[C@@H]1O[C@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3cnc4c(=O)[nH]c(N)nc43)[C@H](O)[C@@H]2O)[C@@H](O)[C@H](O)[C@@H]1O
C00327,NC(=O)NCCC[C@H](N)C(=O)O
C00328,Nc1ccccc1C(=O)C[C@H](N)C(=O)O
C00329,N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O
C00330,Nc1nc2c(ncn2[C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1
C00331,O=C(O)C(=O)Cc1c[nH]c2ccccc12
C00332,CC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
C00333,O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@H]1O
C00334,NCCCC(=O)O
C00337,O=C1C[C@@H](C(=O)O)NC(=O)N1
C00339,*CO
C00341,CC(C)=CCC/C(C)=C/COP(=O)(O)OP(=O)(O)O
C00342,*N[C@@H](CS)C(=O)N[C@@H](*)C(=O)N[C@@H](*)C(=O)N[C@@H](CS)C(*)=O
C00343,*N[C@H]1CSSC[C@@H](C(*)=O)NC(=O)[C@H](*)NC(=O)[C@H](*)NC1=O
C00344,*C(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)CO)OC(*)=O
C00345,O=C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O
C00346,NCCOP(=O)(O)O
C00347,*CCC(=O)O
C00349,CC(C=O)C(=O)O
C00350,*C(=O)OCC(COP(=O)(O)OCCN)OC(*)=O
C00352,N[C@H]1C(O)O[C@H](COP(=O)(O)O)[C@@H](O)[C@@H]1O
C00353,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)O
C00354,O=P(O)(O)OC[C@H]1OC(O)(COP(=O)(O)O)[C@@H](O)[C@@H]1O
C00355,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O
C00356,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C[C@@](C)(O)CC(=O)O
C00357,CC(=O)N[C@H]1C(O)O[C@H](COP(=O)(O)O)[C@@H](O)[C@@H]1O
C00360,Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)(O)O)O1
C00361,Nc1nc2c(ncn2[C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]1
C00362,Nc1nc2c(ncn2[C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)c(=O)[nH]1
C00363,Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]c1=O
C00364,Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)c(=O)[nH]c1=O
C00365,O=c1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)c(=O)[nH]1
C00366,O=c1[nH]c(=O)c2[nH]c(=O)[nH]c2[nH]1
C00369,*O[C@H]1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](*)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O
C00370,OC1CCC2C(CCC3C4CCCC4CCC23)C1
C00371,C/C(=C\CNc1ncnc2[nH]cnc12)CO
C00372,*OC[C@H]1O[C@H](OC[C@H]2OC(*)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
C00375,*CN
