Reaction,hasRBP,reactionType
R01583,0,3.0
R08135,0,4.0
R07451,0,4.0
R09425,0,4.0
R07343,1,0.0
R04922,1,5.0
R00615,1,0.0
R04932,0,7.0
R02962,0,7.0
R05131,0,7.0
R08983,0,7.0
R09139,0,7.0
R10481,0,7.0
R05475,0,4.0
R01134,1,4.0
R07412,1,4.0
R06877,0,4.0
R00130,1,5.0
R10694,0,4.0
R00306,0,0.0
R08642,0,4.0
R06332,0,7.0
R03597,0,4.0
R03492,1,0.0
R06940,0,0.0
R01854,0,7.0
R03893,0,0.0
R08323,0,7.0
R08828,0,4.0
R11139,0,7.0
R01851,1,4.0
R02396,0,5.0
R03991,1,5.0
R05669,0,0.0
R06481,0,7.0
R10092,1,3.0
R12659,0,4.0
R08324,0,4.0
R02240,1,5.0
R06000,0,5.0
R05043,0,7.0
R00170,0,7.0
R04760,0,7.0
R04955,0,4.0
R05497,0,4.0
R08221,0,0.0
R11909,0,7.0
R01140,1,5.0
R12294,0,5.0
R10497,1,5.0
R01059,1,5.0
R08279,0,7.0
R05609,0,7.0
R07091,1,5.0
R07014,1,0.0
R00575,1,2.0
R01658,1,5.0
R01386,0,7.0
R08770,0,4.0
R07471,0,4.0
R02765,0,1.0
R01135,1,2.0
R08172,0,5.0
R07577,0,7.0
R09465,0,0.0
R08227,0,0.0
R10380,0,5.0
R03519,0,5.0
R06374,0,7.0
R04686,0,1.0
R06580,0,7.0
R09981,0,7.0
R09295,1,5.0
R01138,1,5.0
R09357,0,7.0
R06913,0,3.0
R06489,0,5.0
R11179,0,4.0
R10552,0,3.0
R04730,0,2.0
R05050,1,4.0
R03104,1,4.0
R08328,0,7.0
R02533,0,5.0
R04394,0,5.0
R03905,0,2.0
R08476,0,7.0
R04745,1,4.0
R02957,1,4.0
R08520,0,4.0
R03697,0,4.0
R10035,0,0.0
R05620,0,2.0
R03856,0,4.0
R02659,0,7.0
R06867,0,7.0
R07379,1,0.0
R04930,1,3.0
R10930,0,5.0
R05861,0,4.0
R06353,0,4.0
R01288,0,5.0
R02003,1,5.0
R06001,1,0.0
R07081,0,4.0
R05182,0,4.0
R11297,0,5.0
R11316,1,0.0
R08508,0,7.0
R06467,0,4.0
R10683,0,4.0
R04630,0,5.0
R07621,0,5.0
R10634,1,5.0
R07824,0,0.0
R09095,0,4.0
R08723,0,4.0
R12184,1,5.0
R04578,0,7.0
R07105,1,4.0
R09076,0,4.0
R07934,0,4.0
R00028,0,0.0
R09459,0,4.0
R05119,0,7.0
R02933,0,0.0
R07959,0,4.0
R02321,0,5.0
R09853,0,5.0
R05650,0,4.0
R08000,0,7.0
R09311,0,7.0
R00164,1,0.0
R05534,0,7.0
R05432,0,4.0
R04960,1,5.0
R03331,0,0.0
R04283,0,7.0
R05568,0,4.0
R06686,0,7.0
R11291,0,5.0
R06122,0,5.0
R00875,1,4.0
R07037,0,0.0
R04903,1,4.0
R08721,0,4.0
R02018,1,4.0
R05928,1,5.0
R00509,1,5.0
R02418,1,0.0
R09305,0,3.0
R05002,1,5.0
R02865,1,5.0
R00707,0,4.0
R06628,0,1.0
R12011,1,5.0
R03204,0,7.0
R09287,0,7.0
R08333,0,7.0
R00987,0,0.0
R07314,1,3.0
R02109,1,0.0
R07599,1,4.0
R06920,0,4.0
R04458,0,7.0
R02150,0,4.0
R02841,0,4.0
R06234,0,5.0
R04791,0,0.0
R07982,0,7.0
R07454,0,4.0
R06209,0,0.0
R00501,0,4.0
R12796,0,
R01992,1,0.0
R03847,0,4.0
R10366,0,4.0
R08597,0,1.0
R10478,0,7.0
R08978,0,5.0
R05329,0,5.0
R05066,1,4.0
R06716,0,5.0
R07020,0,7.0
R07293,0,0.0
R00087,0,0.0
R10231,0,0.0
R05233,1,4.0
R05452,0,2.0
R06731,0,2.0
R09276,0,7.0
R07478,0,5.0
R05849,0,4.0
R01308,0,7.0
R01074,0,2.0
R00045,0,4.0
R10690,0,4.0
R01398,0,5.0
R06155,0,5.0
R10370,0,5.0
R02953,1,3.0
R04888,0,4.0
R07905,0,5.0
R09112,0,4.0
R06396,0,2.0
R08849,0,7.0
R00762,0,0.0
R06189,0,5.0
R07055,0,4.0
R02142,1,5.0
R07386,0,5.0
R00634,0,4.0
R02688,0,0.0
R02519,0,4.0
R12321,1,4.0
R04404,1,0.0
R11273,0,4.0
R00963,1,0.0
R05482,0,7.0
R07230,0,4.0
R01575,0,4.0
R06549,0,7.0
R05649,0,4.0
R01005,0,5.0
R07029,0,7.0
R02100,1,0.0
R10744,0,7.0
R08448,0,4.0
R10462,1,5.0
R08137,0,7.0
R12050,0,5.0
R00939,1,4.0
R08157,0,0.0
R02144,0,5.0
R08270,0,4.0
R10218,0,4.0
R01725,0,7.0
R09412,0,7.0
R07823,0,0.0
R10455,1,5.0
R02372,0,5.0
R01137,1,5.0
R04773,1,2.0
R08550,1,4.0
R05040,0,7.0
R09336,0,7.0
R03344,0,4.0
R10823,1,2.0
R09346,0,7.0
R01886,0,0.0
R11030,0,4.0
R00416,1,5.0
R04895,0,3.0
R09187,0,3.0
R00754,1,4.0
R05675,0,7.0
R07003,1,5.0
R09208,0,3.0
R04774,0,7.0
R09404,0,4.0
R09253,0,7.0
R06714,0,7.0
R06926,0,4.0
R11464,0,7.0
R11560,0,0.0
R07086,0,7.0
R09407,0,4.0
R03314,0,7.0
R09306,0,4.0
R09189,0,5.0
R06790,0,7.0
R07530,0,4.0
R06086,0,5.0
R08335,0,7.0
R10376,0,4.0
R08318,0,4.0
R01194,1,0.0
R08326,0,4.0
R10629,0,0.0
R01010,1,0.0
R03596,1,4.0
R01329,1,0.0
R10982,0,4.0
R02057,1,5.0
R04368,1,0.0
R07474,0,4.0
R00497,0,2.0
R07685,0,7.0
R09300,0,5.0
R01018,0,5.0
R02904,0,7.0
R06096,1,0.0
R09164,0,3.0
R05613,0,5.0
R12628,0,7.0
R03005,0,5.0
R06981,0,4.0
R06654,0,7.0
R11753,0,7.0
R03673,0,1.0
R06186,1,5.0
R08855,0,2.0
R04051,0,5.0
R02130,0,4.0
R01474,0,7.0
R08444,0,7.0
R08886,0,7.0
R06598,0,7.0
R00184,0,0.0
R01193,1,0.0
R00855,0,0.0
R06573,0,4.0
R04604,0,2.0
R01351,1,0.0
R00355,1,5.0
R00328,1,0.0
R05057,0,7.0
R04242,1,0.0
R05480,0,7.0
R07601,1,4.0
R00270,0,7.0
R00089,1,3.0
R07663,0,4.0
R11368,0,4.0
R00942,0,2.0
R01324,1,3.0
R05692,1,4.0
R03533,0,7.0
R11421,0,5.0
R06855,0,7.0
R03175,0,7.0
R00149,1,2.0
R08434,0,7.0
R02019,1,4.0
R08290,0,7.0
R06031,0,5.0
R12438,0,4.0
R07084,1,5.0
R05356,0,0.0
R07951,1,3.0
R02739,1,1.0
R09133,0,4.0
R03862,0,5.0
R05537,0,7.0
R04737,1,4.0
R08329,0,7.0
R08698,0,7.0
R07078,0,7.0
R09408,0,4.0
R05555,0,5.0
R06279,0,5.0
R06004,1,0.0
R05538,0,7.0
R00658,1,3.0
R09303,0,5.0
R00925,1,2.0
R04592,0,4.0
R05996,0,0.0
R11243,0,4.0
R07765,0,4.0
R08154,0,7.0
R03425,0,4.0
R05327,0,5.0
R01077,1,0.0
R12411,0,4.0
R07695,0,7.0
R09044,0,7.0
R00624,1,4.0
R07866,0,7.0
R03954,1,5.0
R04352,0,5.0
R12169,1,4.0
R05904,0,5.0
R00763,1,0.0
R11563,1,0.0
R04804,1,1.0
R09993,0,0.0
R08255,0,0.0
R06339,0,7.0
R06375,0,7.0
R09225,0,1.0
R07609,0,5.0
R06942,1,3.0
R11319,1,5.0
R03677,0,7.0
R04924,0,7.0
R01528,1,4.0
R03259,1,0.0
R08309,0,7.0
R06701,0,7.0
R03599,1,3.0
R01909,1,5.0
R08321,0,7.0
R12168,1,4.0
R09205,0,4.0
R04254,0,5.0
R06641,0,5.0
R05615,0,5.0
R10442,0,0.0
R00937,1,4.0
R11430,0,7.0
R04749,1,3.0
R08748,0,5.0
R02746,1,0.0
R07110,0,0.0
R01994,0,5.0
R08458,0,7.0
R03613,0,2.0
R09036,0,5.0
R03295,0,4.0
R01529,1,1.0
R12446,0,4.0
R12199,0,0.0
R04443,0,7.0
R04642,0,5.0
R02719,1,0.0
R05454,0,7.0
R09325,0,7.0
R08372,0,7.0
R04391,0,5.0
R08421,0,7.0
R12567,0,5.0
R05953,0,5.0
R09471,0,7.0
R06823,0,7.0
R09074,0,4.0
R04310,0,4.0
R04674,0,4.0
R02112,0,0.0
R11293,0,5.0
R06675,0,5.0
R11761,0,7.0
R07611,0,5.0
R05611,0,5.0
R08233,1,5.0
R04920,1,5.0
R09361,0,7.0
R09805,0,4.0
R08346,0,4.0
R03362,1,5.0
R06881,0,7.0
R10242,0,4.0
R05706,0,4.0
R06861,1,5.0
R04811,0,5.0
R07636,1,3.0
R11278,0,5.0
R05098,0,7.0
R06197,0,5.0
R12629,0,4.0
R01105,1,0.0
R11417,0,5.0
R10108,0,7.0
R06890,0,4.0
R08384,0,4.0
R04965,1,5.0
R02874,1,4.0
R08562,0,7.0
R03848,0,4.0
R11570,0,7.0
R00621,1,4.0
R09262,0,4.0
R07218,0,4.0
R02867,1,5.0
R07733,0,7.0
R02054,0,0.0
R08884,0,7.0
R09677,1,5.0
R02464,0,3.0
R00103,0,0.0
R06412,1,3.0
R07717,0,7.0
R07497,0,7.0
R05943,0,5.0
R07136,1,4.0
R03694,0,7.0
R00332,1,5.0
R08253,0,7.0
R11439,0,5.0
R08564,0,7.0
R05456,0,4.0
R02204,0,4.0
R12704,0,
R08441,0,5.0
R08471,0,7.0
R04531,0,5.0
R02893,0,4.0
R08417,0,7.0
R01855,0,0.0
R07288,0,5.0
R07841,0,7.0
R09326,0,7.0
R06694,0,7.0
R09110,0,7.0
R07686,0,7.0
R08297,0,7.0
R07470,0,4.0
R06713,0,5.0
R12093,0,7.0
R06280,0,0.0
R06169,0,5.0
R08481,0,7.0
R06408,0,4.0
R08045,0,4.0
R01041,1,4.0
R11028,0,7.0
R04433,0,4.0
R00891,1,3.0
R07900,0,7.0
R02610,0,4.0
R09132,0,4.0
R02222,1,4.0
R08680,0,5.0
R06491,0,5.0
R03165,0,3.0
R06955,0,7.0
R08178,1,0.0
R10036,0,7.0
R10816,0,0.0
R02920,0,5.0
R11296,0,7.0
R08967,0,5.0
R09232,0,4.0
R06327,0,7.0
R11020,0,5.0
R02323,1,0.0
R11772,0,1.0
R10992,0,5.0
R01462,1,0.0
R09313,0,4.0
R02585,1,0.0
R05674,0,5.0
R05153,0,7.0
R07626,0,0.0
R12155,0,0.0
R01625,0,5.0
R03478,0,5.0
R00917,0,7.0
R06340,0,7.0
R06433,0,1.0
R08274,0,4.0
R08251,0,0.0
R10367,0,4.0
R07034,1,4.0
R05639,1,4.0
R00708,0,4.0
R00590,0,3.0
R07076,0,7.0
R09383,1,5.0
R00685,0,3.0
R00578,1,2.0
R04725,1,4.0
R02760,1,5.0
R06825,0,7.0
R08020,0,7.0
R08067,0,7.0
R07846,0,7.0
R08535,0,7.0
R06366,1,4.0
R00827,0,5.0
R08825,0,7.0
R08837,0,7.0
R03219,1,4.0
R12428,0,5.0
R11267,0,4.0
R11115,0,7.0
R02502,0,5.0
R08711,0,4.0
R07028,0,7.0
R05505,0,4.0
R10371,0,4.0
R09147,0,4.0
R05801,0,5.0
R00418,0,1.0
R09422,0,7.0
R01260,0,4.0
R07099,0,4.0
R08985,0,5.0
R05792,0,0.0
R12551,0,1.0
R11498,0,7.0
R05881,0,7.0
R09421,0,4.0
R05573,0,0.0
R01960,0,4.0
R01759,1,4.0
R05631,0,5.0
R06477,0,5.0
R00566,0,3.0
R03714,0,7.0
R07006,0,7.0
R09301,0,5.0
R07906,0,5.0
R08262,0,5.0
R01881,1,5.0
R10813,1,5.0
R08614,0,0.0
R11431,0,7.0
R11904,0,4.0
R08347,0,4.0
R11770,0,4.0
R12682,1,4.0
R03224,1,3.0
R02895,0,7.0
R08043,0,4.0
R00239,1,5.0
R05654,0,4.0
R04978,0,7.0
R05060,0,7.0
R06727,0,7.0
R08821,0,7.0
R12070,0,4.0
R12126,0,7.0
R10216,0,7.0
R08359,1,5.0
R12450,0,7.0
R02211,0,4.0
R04886,0,7.0
R09414,0,7.0
R12391,1,0.0
R02011,0,3.0
R12210,0,4.0
R08175,1,0.0
R03250,0,7.0
R10357,0,4.0
R01224,0,4.0
R08014,0,4.0
R02265,1,1.0
R04933,0,7.0
R04514,0,5.0
R06145,0,5.0
R03804,1,0.0
R03660,1,2.0
R02663,0,7.0
R06852,0,4.0
R08841,0,4.0
R12557,0,7.0
R11583,1,5.0
R09448,0,4.0
R06730,0,1.0
R07446,0,7.0
R04466,1,5.0
R03469,1,5.0
R08049,0,7.0
R12445,0,4.0
R06121,0,5.0
R05992,0,5.0
R08474,0,7.0
R02843,0,4.0
R11245,0,7.0
R00352,1,5.0
R01229,1,5.0
R02016,1,4.0
R10905,0,0.0
R06643,0,5.0
R02669,0,3.0
R04125,0,5.0
R08186,0,0.0
R08128,0,5.0
R06380,0,7.0
R08435,0,7.0
R06733,0,7.0
R09319,0,5.0
R10384,0,7.0
R07885,0,5.0
R00895,1,5.0
R08232,0,5.0
R05197,0,2.0
R08442,0,4.0
R10565,0,4.0
R08382,0,4.0
R05373,0,3.0
R06656,0,7.0
R09202,0,7.0
R11429,0,7.0
R04104,0,1.0
R05873,0,7.0
R08240,1,4.0
R09166,0,4.0
R10499,0,5.0
R08881,0,7.0
R10476,0,7.0
R11766,0,7.0
R10766,0,1.0
R10369,0,7.0
R05346,0,7.0
R03779,0,5.0
R11303,0,7.0
R05471,0,7.0
R11894,1,5.0
R08412,0,7.0
R08180,1,0.0
R09431,0,7.0
R01787,1,4.0
R07056,0,4.0
R00233,0,3.0
R00945,1,5.0
R04142,0,4.0
R05976,1,5.0
R08129,0,7.0
R11381,0,4.0
R08173,0,4.0
R00291,0,1.0
R05659,0,7.0
R07835,0,7.0
R06660,0,5.0
R02164,1,4.0
R06275,0,5.0
R04869,0,0.0
R09108,0,4.0
R02644,0,1.0
R09423,0,4.0
R07498,1,4.0
R01426,0,7.0
R00514,0,0.0
R02912,0,5.0
R11905,1,5.0
R09368,0,7.0
R12142,0,7.0
R12751,0,
R09343,0,7.0
R10903,0,7.0
R08190,0,0.0
R00165,0,7.0
R01309,1,0.0
R05981,1,0.0
R04374,0,3.0
R12171,1,4.0
R06055,0,5.0
R08446,0,5.0
R04274,1,2.0
R01952,0,7.0
R00026,0,0.0
R08738,0,2.0
R11029,1,5.0
R02627,1,5.0
R07449,0,4.0
R06666,0,7.0
R04852,0,4.0
R07093,1,5.0
R11906,0,4.0
R06586,0,5.0
R01068,1,3.0
R07484,1,1.0
R09433,0,7.0
R04729,0,1.0
R04563,0,2.0
R04239,0,4.0
R05371,0,0.0
R01175,1,4.0
R07551,0,7.0
R07978,0,4.0
R10630,0,0.0
R04914,0,7.0
R08585,0,7.0
R07604,1,4.0
R02098,1,5.0
R03036,0,0.0
R00220,0,3.0
R05455,0,7.0
R08525,0,7.0
R09105,0,0.0
R06479,0,5.0
R09102,0,4.0
R12444,0,4.0
R10884,0,7.0
R02767,0,4.0
R00940,1,4.0
R09184,0,4.0
R08708,0,1.0
R08121,0,0.0
R10281,1,1.0
R03475,0,7.0
R09194,0,7.0
R04889,0,4.0
R08757,0,7.0
R00145,1,4.0
R06465,0,4.0
R10753,0,7.0
R11063,0,5.0
R11092,0,7.0
R02094,1,5.0
R07299,1,0.0
R08521,0,4.0
R05051,0,4.0
R01248,1,4.0
R09436,0,7.0
R00129,0,3.0
R05000,0,5.0
R02127,0,7.0
R04935,1,5.0
R08155,0,7.0
R11067,0,7.0
R04203,1,4.0
R11388,0,5.0
R05059,0,7.0
R08380,0,4.0
R09226,0,0.0
R02115,1,0.0
R06711,0,7.0
R01736,0,0.0
R03658,1,2.0
R10436,0,5.0
R02665,0,4.0
R01361,1,4.0
R09848,0,7.0
R10372,0,7.0
R08709,0,4.0
R08725,0,7.0
R05582,0,4.0
R06907,0,4.0
R01705,1,0.0
R07806,0,0.0
R11116,0,7.0
R01205,0,5.0
R09045,0,7.0
R06902,0,7.0
R00167,0,7.0
R01819,0,1.0
R01629,0,4.0
R08653,0,4.0
R01317,1,0.0
R00380,1,5.0
R09144,0,7.0
R12799,1,
R12706,0,
R09411,0,7.0
R09353,0,4.0
R06653,0,7.0
R03628,0,4.0
R09096,0,7.0
R05941,0,5.0
R03245,1,5.0
R05960,0,5.0
R00443,1,5.0
R01493,1,0.0
R02460,0,7.0
R02599,0,5.0
R04446,0,7.0
R07460,0,5.0
R03488,0,5.0
R06678,0,7.0
R06003,0,5.0
R05572,0,0.0
R05923,0,7.0
R06316,0,7.0
R06995,0,7.0
R04209,1,3.0
R00588,0,5.0
R07979,0,4.0
R08840,0,4.0
R06277,0,5.0
R11299,0,5.0
R09522,0,4.0
R04649,0,5.0
R01549,0,5.0
R07971,0,4.0
R06604,0,3.0
R08509,0,7.0
R05396,0,4.0
R08413,0,7.0
R11235,0,7.0
R11664,0,7.0
R09158,0,7.0
R06667,0,7.0
R04386,1,5.0
R05939,0,5.0
R08639,1,1.0
R00894,1,2.0
R06924,0,4.0
R07656,0,5.0
R08322,0,7.0
R04748,1,4.0
R08097,0,5.0
R01168,0,3.0
R10739,0,7.0
R05918,0,5.0
R07494,1,4.0
R05653,0,4.0
R04311,1,5.0
R03819,0,5.0
R12556,0,4.0
R05906,0,5.0
R00770,1,5.0
R06645,0,5.0
R01843,1,5.0
R09424,0,4.0
R08964,0,5.0
R12125,0,0.0
R03353,1,1.0
R00168,0,7.0
R09182,0,7.0
R06370,0,4.0
R00259,0,5.0
R01352,1,0.0
R07755,0,7.0
R06818,0,5.0
R12599,0,2.0
R07239,0,7.0
R09210,0,4.0
R05940,0,5.0
R07038,0,4.0
R12403,1,4.0
R08615,0,5.0
R11685,0,5.0
R10738,0,5.0
R01067,1,5.0
R07782,0,0.0
R06092,0,0.0
R05603,0,2.0
R02732,0,5.0
R05854,0,7.0
R08780,0,5.0
R07493,0,4.0
R06097,0,5.0
R00189,0,2.0
R12138,0,7.0
R07815,1,5.0
R06703,0,5.0
R01242,0,5.0
R09958,0,3.0
R08826,0,4.0
R02498,0,4.0
R05970,1,5.0
R01397,1,5.0
R04557,0,4.0
R05428,0,4.0
R03486,0,5.0
R05064,1,0.0
R04840,0,4.0
R04212,0,2.0
R07397,0,5.0
R01569,1,0.0
R01516,1,1.0
R06996,0,7.0
R08812,0,7.0
R01723,0,7.0
R00031,0,4.0
